Country Assoc,List of Country Hubs,Filtered Country Hubs,sub-region
MLI,"['SEN', 'ZAF']",['SEN'],Sub-Saharan Africa
MMR,"['MYS', 'BRN', 'SGP']","[ 'SGP', 'ARE', 'TUR', 'SAU', 'QAT']",South-eastern Asia
MNG,"['HKG', 'JPN', 'TWN', 'CHN']","['CHN', 'ARE', 'TUR', 'JPN', 'QAT']",Eastern Asia
MOZ,"['SEN', 'ZAF']","['SEN', 'ZAF']",Sub-Saharan Africa
MRT,"['SEN', 'ZAF']",['SEN'],Sub-Saharan Africa
MSR,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
MTQ,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
MUS,"['SEN', 'ZAF']","['SEN', 'ZAF']",#N/A
MWI,"['SEN', 'ZAF']","['SEN', 'ZAF']",Sub-Saharan Africa
MYS,"['ARE', 'IND', 'HKG', 'JPN', 'MYS', 'AUS', 'BRN', 'SGP', 'CHN']","['ARE', 'IND',  'MYS', 'SGP', 'CHN', 'QAT', 'TUR']",South-eastern Asia
MYT,"['SEN', 'ZAF']","['SEN', 'ZAF']",#N/A
NAM,"['SEN', 'ZAF']","['SEN', 'ZAF']",Sub-Saharan Africa
NER,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
NFK,['AUS'],['AUS'],#N/A
NGA,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
NIC,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
NPL,"['ARE', 'QAT', 'IND', 'MYS']","['ARE', 'IND', 'TUR', 'QAT']",Southern Asia
NZL,"['ARE', 'QAT', 'HKG', 'MYS', 'TWN', 'AUS']","['ARE', 'QAT', 'MYS', 'TWN', 'AUS']",Australia and New Zealand
OMN,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
PAK,"['ARE', 'IND']","['ARE', 'IND', 'TUR', 'QAT']",Southern Asia
PAN,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
PER,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
PHL,"['ARE', 'QAT', 'HKG', 'JPN', 'BHR', 'MYS', 'TWN', 'SAU', 'AUS', 'BRN', 'SGP']","['ARE', 'IND',  'SGP', 'CHN', 'QAT', 'TUR']",South-eastern Asia
PRI,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
PRK,"['HKG', 'JPN', 'TWN', 'CHN']","['JPN', 'TWN', 'CHN']",Eastern Asia
PRY,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
PSE,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
QAT,"['ARE', 'QAT', 'TUR', 'IND', 'HKG', 'JPN', 'BHR', 'MYS', 'SAU', 'AUS']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
RWA,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
SAU,"['ARE', 'QAT', 'TUR', 'IND', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
SDN,"['MAR', 'DZA']","['MAR', 'DZA', 'TUR']",Northern Africa
SEN,"['SEN', 'ZAF']",['SEN'],Sub-Saharan Africa
SGP,"['ARE', 'QAT', 'IND', 'MYS', 'AUS', 'BRN', 'SGP']","['ARE', 'QAT', 'IND', 'MYS', 'BRN', 'SGP']",South-eastern Asia
SLE,"['SEN', 'ZAF']",['SEN'],Sub-Saharan Africa
SLV,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
SOM,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
SPM,"['USA', 'CAN', 'BMU']","['USA', 'CAN']",Northern America
SSD,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
STP,"['SEN', 'ZAF']",['SEN'],#N/A
SUR,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
SWZ,"['SEN', 'ZAF']","['SEN', 'ZAF']",#N/A
SYC,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
SYR,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
TCA,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
TCD,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
TGO,"['SEN', 'ZAF']",['SEN'],Sub-Saharan Africa
THA,"['ARE', 'QAT', 'IND', 'HKG', 'JPN', 'MYS', 'TWN', 'AUS', 'BRN', 'SGP', 'CHN']","['ARE', 'QAT', 'IND', 'MYS', 'TWN', 'BRN', 'SGP', 'CHN']",South-eastern Asia
TJK,['KAZ'],"['KAZ', 'TUR', 'IND', 'QAT', 'ARE']",Central Asia
TKM,['KAZ'],['KAZ'],#N/A
TLS,"['MYS', 'BRN', 'SGP']","['MYS', 'BRN', 'SGP']",#N/A
TTO,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
TUN,"['MAR', 'DZA']","['MAR', 'DZA']",Northern Africa
TUR,"['ARE', 'QAT', 'TUR', 'KAZ', 'BHR', 'SAU']",['TUR'],Western Asia
TWN,"['ARE', 'HKG', 'JPN', 'MYS', 'TWN', 'AUS', 'CHN']","['ARE', 'JPN', 'MYS', 'TWN', 'CHN']",Eastern Asia
TZA,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
UGA,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
URY,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
USA,"['USA', 'CAN', 'BMU']","['USA', 'CAN']",Northern America
UZB,['KAZ'],"['KAZ', 'TUR', 'IND', 'QAT', 'ARE']",Central Asia
VCT,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
VEN,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
VGB,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
VIR,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
VNM,"['MYS', 'BRN', 'SGP']","[ 'SGP', 'ARE', 'TUR', 'SAU', 'QAT']",South-eastern Asia
YEM,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
ZAF,"['SEN', 'ZAF']","['SEN', 'ZAF']",Sub-Saharan Africa
ZMB,"['SEN', 'ZAF']","['SEN', 'ZAF']",Sub-Saharan Africa
ZWE,"['SEN', 'ZAF']","['SEN', 'ZAF']",Sub-Saharan Africa
ALB,,['GRC'],
BLR,,['RUS'],
GIB,,['SPN'],
