,route,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute_1,Leg_fixRoute_1,fixRoute_2,Leg_fixRoute_2,fixRoute_3,Leg_fixRoute_3
13,JFK-OTP,JFK,OTP,ROU,Europe,USA,Americas,USA-ROU,Americas-Europe,JFK,OTP,JFK->DUB->OTP,2,JFK->DUS->OTP,2,JFK->DUS->OTP,2
14,JFK-LPL,JFK,LPL,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,LPL,JFK->BCN->LPL,2,JFK->AMS->LPL,2,JFK->BCN->LPL,2
15,JFK-ARN,JFK,ARN,SWE,Europe,USA,Americas,USA-SWE,Americas-Europe,JFK,ARN,JFK->HEL->ARN,2,JFK->LHR->ARN,2,JFK->MAN->ARN,2
16,JFK-BRS,JFK,BRS,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,BRS,JFK->CDG->BRS,2,JFK->DUB->BRS,2,JFK->GVA->BRS,2
17,JFK-LGW,JFK,LGW,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,LGW,JFK->LGW,1,JFK->LGW,1,JFK->LGW,1
18,JFK-KBP,JFK,KBP,UKR,Europe,USA,Americas,USA-UKR,Americas-Europe,JFK,KBP,JFK->DUS->KBP,2,JFK->DUB->BUD->KBP,3,JFK->AMS->KBP,2
19,JFK-DME,JFK,DME,RUS,Europe,USA,Americas,USA-RUS,Americas-Europe,JFK,DME,JFK->FRA->DME,2,JFK->MUC->DME,2,JFK->FRA->DME,2
20,JFK-LTN,JFK,LTN,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,LTN,JFK->KEF->LTN,2,JFK->GVA->LTN,2,JFK->WAW->LTN,2
21,JFK-HEL,JFK,HEL,FIN,Europe,USA,Americas,USA-FIN,Americas-Europe,JFK,HEL,JFK->HEL,1,JFK->HEL,1,JFK->HEL,1
22,JFK-LCY,JFK,LCY,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,LCY,JFK->LCY,1,JFK->LCY,1,JFK->LCY,1
23,JFK-MAN,JFK,MAN,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,MAN,JFK->MAN,1,JFK->MAN,1,JFK->MAN,1
24,JFK-KEF,JFK,KEF,ISL,Europe,USA,Americas,USA-ISL,Americas-Europe,JFK,KEF,JFK->KEF,1,JFK->KEF,1,JFK->KEF,1
25,JFK-ATH,JFK,ATH,GRC,Europe,USA,Americas,USA-GRC,Americas-Europe,JFK,ATH,JFK->BCN->ATH,2,JFK->AMS->ATH,2,JFK->DUS->ATH,2
26,JFK-GVA,JFK,GVA,CHE,Europe,USA,Americas,USA-CHE,Americas-Europe,JFK,GVA,JFK->GVA,1,JFK->GVA,1,JFK->GVA,1
27,JFK-ZAG,JFK,ZAG,HRV,Europe,USA,Americas,USA-HRV,Americas-Europe,JFK,ZAG,JFK->VIE->ZAG,2,JFK->MUC->ZAG,2,JFK->ZRH->ZAG,2
28,JFK-BUD,JFK,BUD,HUN,Europe,USA,Americas,USA-HUN,Americas-Europe,JFK,BUD,JFK->MAN->BUD,2,JFK->AMS->BUD,2,JFK->DUS->BUD,2
29,JFK-EDI,JFK,EDI,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,EDI,JFK->EDI,1,JFK->EDI,1,JFK->EDI,1
30,JFK-EMA,JFK,EMA,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,EMA,JFK->DUB->EMA,2,JFK->CDG->MXP->EMA,3,JFK->CDG->CGN->EMA,3
31,JFK-WAW,JFK,WAW,POL,Europe,USA,Americas,USA-POL,Americas-Europe,JFK,WAW,JFK->WAW,1,JFK->WAW,1,JFK->WAW,1
32,JFK-CPH,JFK,CPH,DNK,Europe,USA,Americas,USA-DNK,Americas-Europe,JFK,CPH,JFK->AMS->CPH,2,JFK->DUS->CPH,2,JFK->MUC->CPH,2
33,JFK-ORY,JFK,ORY,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,ORY,JFK->ORY,1,JFK->ORY,1,JFK->ORY,1
34,JFK-STN,JFK,STN,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,STN,JFK->BCN->STN,2,JFK->DUB->STN,2,JFK->DUB->STN,2
35,JFK-BHX,JFK,BHX,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,BHX,JFK->CDG->BHX,2,JFK->BCN->BHX,2,JFK->DUB->BHX,2
36,JFK-LGG,JFK,LGG,BEL,Europe,USA,Americas,USA-BEL,Americas-Europe,JFK,LGG,JFK->MAN->CDG->LGG,3,JFK->LGW->VIE->LGG,3,JFK->DUB->LGG,2
37,JFK-MMX,JFK,MMX,SWE,Europe,USA,Americas,USA-SWE,Americas-Europe,JFK,MMX,JFK->MAN->CGN->MMX,3,JFK->DUB->LGG->MMX,3,JFK->LHR->CGN->MMX,3
38,JFK-ZIA,JFK,ZIA,RUS,Europe,USA,Americas,USA-RUS,Americas-Europe,JFK,ZIA,JFK->LCY->FRA->ALA->ZIA,4,JFK->SVO->ALA->ZIA,3,JFK->SVO->ALA->ZIA,3
39,JFK-CGN,JFK,CGN,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,CGN,JFK->CDG->CGN,2,JFK->DUB->CGN,2,JFK->LIS->CGN,2
40,JFK-RIX,JFK,RIX,LVA,Europe,USA,Americas,USA-LVA,Americas-Europe,JFK,RIX,JFK->DUB->RIX,2,JFK->DUB->RIX,2,JFK->HEL->RIX,2
41,JFK-DUS,JFK,DUS,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,DUS,JFK->DUS,1,JFK->DUS,1,JFK->DUS,1
42,JFK-TXL,JFK,TXL,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,TXL,JFK->MAN->TXL,2,JFK->MAN->TXL,2,JFK->EDI->TXL,2
43,JFK-FAO,JFK,FAO,PRT,Europe,USA,Americas,USA-PRT,Americas-Europe,JFK,FAO,JFK->ORY->FAO,2,JFK->LGW->FAO,2,JFK->LGW->FAO,2
44,JFK-GOT,JFK,GOT,SWE,Europe,USA,Americas,USA-SWE,Americas-Europe,JFK,GOT,JFK->WAW->GOT,2,JFK->LGW->GOT,2,JFK->LGW->GOT,2
45,JFK-ALC,JFK,ALC,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,JFK,ALC,JFK->MAN->ALC,2,JFK->DUB->ALC,2,JFK->EDI->ALC,2
46,JFK-SVQ,JFK,SVQ,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,JFK,SVQ,JFK->CDG->SVQ,2,JFK->ORY->SVQ,2,JFK->DUB->ORY->SVQ,3
47,JFK-AGP,JFK,AGP,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,JFK,AGP,JFK->LHR->AGP,2,JFK->MAN->AGP,2,JFK->ORY->AGP,2
48,JFK-CRL,JFK,CRL,BEL,Europe,USA,Americas,USA-BEL,Americas-Europe,JFK,CRL,JFK->WAW->CRL,2,JFK->LIS->CRL,2,JFK->EDI->CRL,2
49,JFK-BGY,JFK,BGY,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,BGY,JFK->DUB->BGY,2,JFK->MAN->BGY,2,JFK->BCN->BGY,2
50,JFK-SXF,JFK,SXF,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,SXF,JFK->EDI->SXF,2,JFK->EDI->SXF,2,JFK->EDI->SXF,2
51,JFK-HAM,JFK,HAM,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,HAM,JFK->EDI->HAM,2,JFK->CDG->HAM,2,JFK->LHR->HAM,2
52,JFK-CIA,JFK,CIA,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,CIA,JFK->AMS->STN->CIA,3,JFK->EDI->CPH->CIA,3,JFK->MAN->SXF->CIA,3
53,JFK-HER,JFK,HER,GRC,Europe,USA,Americas,USA-GRC,Americas-Europe,JFK,HER,JFK->AMS->HER,2,JFK->LGW->AMS->HER,3,JFK->AMS->HER,2
54,JFK-MRS,JFK,MRS,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,MRS,JFK->MAD->MRS,2,JFK->MAD->MRS,2,JFK->LIS->MRS,2
55,JFK-LIN,JFK,LIN,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,LIN,JFK->FRA->LIN,2,JFK->ORY->LIN,2,JFK->FRA->LIN,2
56,JFK-XRY,JFK,XRY,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,JFK,XRY,JFK->DUS->XRY,2,JFK->DUS->XRY,2,JFK->DUS->XRY,2
57,JFK-EIN,JFK,EIN,NLD,Europe,USA,Americas,USA-NLD,Americas-Europe,JFK,EIN,JFK->LIS->EIN,2,JFK->BCN->EIN,2,JFK->BCN->EIN,2
58,JFK-HAJ,JFK,HAJ,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,HAJ,JFK->LHR->HAJ,2,JFK->VIE->HAJ,2,JFK->VIE->HAJ,2
59,JFK-STR,JFK,STR,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,STR,JFK->LGW->STR,2,JFK->LGW->STR,2,JFK->LGW->STR,2
60,JFK-LUX,JFK,LUX,LUX,Europe,USA,Americas,USA-LUX,Americas-Europe,JFK,LUX,JFK->ZRH->LUX,2,JFK->FRA->LUX,2,JFK->LHR->LUX,2
61,JFK-WMI,JFK,WMI,POL,Europe,USA,Americas,USA-POL,Americas-Europe,JFK,WMI,JFK->DUB->WMI,2,JFK->DUB->WMI,2,JFK->MAD->WMI,2
62,JFK-POZ,JFK,POZ,POL,Europe,USA,Americas,USA-POL,Americas-Europe,JFK,POZ,JFK->MAD->STN->POZ,3,JFK->BCN->STN->POZ,3,JFK->LGW->CPH->POZ,3
63,JFK-NUE,JFK,NUE,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,NUE,JFK->VIE->NUE,2,JFK->AMS->NUE,2,JFK->AMS->NUE,2
64,JFK-DRS,JFK,DRS,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,DRS,JFK->LHR->AMS->DRS,3,JFK->AMS->DRS,2,JFK->ZRH->DRS,2
65,JFK-GDN,JFK,GDN,POL,Europe,USA,Americas,USA-POL,Americas-Europe,JFK,GDN,JFK->KEF->LTN->GDN,3,JFK->DUB->LTN->GDN,3,JFK->MUC->LTN->GDN,3
66,JFK-BOH,JFK,BOH,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,BOH,JFK->DUS->AGP->BOH,3,JFK->LGW->AGP->BOH,3,JFK->LIS->AGP->BOH,3
67,JFK-BOD,JFK,BOD,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,BOD,JFK->DUB->BOD,2,JFK->BRU->BOD,2,JFK->LIS->BOD,2
68,JFK-IEV,JFK,IEV,UKR,Europe,USA,Americas,USA-UKR,Americas-Europe,JFK,IEV,JFK->WAW->IEV,2,JFK->WAW->IEV,2,JFK->VIE->IEV,2
69,JFK-PIK,JFK,PIK,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,PIK,JFK->LGW->AGP->PIK,3,JFK->LIS->AGP->PIK,3,JFK->LIS->AGP->PIK,3
70,JFK-AOI,JFK,AOI,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,AOI,JFK->BCN->STN->AOI,3,JFK->CDG->STN->AOI,3,JFK->DUB->STN->AOI,3
71,JFK-BRE,JFK,BRE,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,BRE,JFK->AMS->BRE,2,JFK->MAN->ZRH->BRE,3,JFK->CDG->STN->BRE,3
72,JFK-TLL,JFK,TLL,EST,Europe,USA,Americas,USA-EST,Americas-Europe,JFK,TLL,JFK->AMS->TLL,2,JFK->AMS->TLL,2,JFK->MUC->RIX->TLL,3
73,JFK-LYS,JFK,LYS,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,LYS,JFK->DUB->LYS,2,JFK->BRU->LYS,2,JFK->BCN->LYS,2
74,JFK-TLS,JFK,TLS,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,TLS,JFK->LIS->TLS,2,JFK->AMS->TLS,2,JFK->MUC->TLS,2
75,JFK-QPA,JFK,QPA,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,QPA,JFK->MUC->QPA,2,JFK->AMS->QPA,2,JFK->AMS->QPA,2
76,JFK-GLA,JFK,GLA,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,GLA,JFK->KEF->GLA,2,JFK->DUB->GLA,2,JFK->DUB->GLA,2
77,JFK-MXP,JFK,MXP,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,MXP,JFK->ORY->MXP,2,JFK->MXP,1,JFK->MXP,1
78,JFK-JER,JFK,JER,JEY,Europe,USA,Americas,USA-JEY,Americas-Europe,JFK,JER,JFK->LGW->JER,2,JFK->LGW->JER,2,JFK->LGW->JER,2
79,JFK-FLR,JFK,FLR,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,FLR,JFK->MUC->FLR,2,JFK->FRA->FLR,2,JFK->MUC->FLR,2
80,JFK-GRZ,JFK,GRZ,AUT,Europe,USA,Americas,USA-AUT,Americas-Europe,JFK,GRZ,JFK->ZRH->GRZ,2,JFK->AMS->GRZ,2,JFK->MUC->GRZ,2
81,JFK-BRI,JFK,BRI,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,BRI,JFK->AMS->BRI,2,JFK->LGW->MUC->BRI,3,JFK->LGW->BRI,2
82,JFK-PEG,JFK,PEG,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,PEG,JFK->CDG->STN->PEG,3,JFK->DUB->STN->PEG,3,JFK->MXP->STN->PEG,3
83,JFK-LJU,JFK,LJU,SVN,Europe,USA,Americas,USA-SVN,Americas-Europe,JFK,LJU,JFK->FRA->LJU,2,JFK->LCY->FRA->LJU,3,JFK->AMS->LJU,2
84,JFK-NCL,JFK,NCL,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,NCL,JFK->CDG->NCL,2,JFK->DUB->NCL,2,JFK->CDG->NCL,2
85,JFK-FNC,JFK,FNC,PRT,Europe,USA,Americas,USA-PRT,Americas-Europe,JFK,FNC,JFK->LGW->FNC,2,JFK->LGW->FNC,2,JFK->LGW->FNC,2
86,JFK-CWL,JFK,CWL,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,CWL,JFK->AMS->CWL,2,JFK->LGW->AMS->CWL,3,JFK->AMS->CWL,2
87,JFK-NOC,JFK,NOC,IRL,Europe,USA,Americas,USA-IRL,Americas-Europe,JFK,NOC,JFK->LGW->NOC,2,JFK->AMS->STN->NOC,3,JFK->AMS->LPL->NOC,3
88,JFK-LED,JFK,LED,RUS,Europe,USA,Americas,USA-RUS,Americas-Europe,JFK,LED,JFK->LGW->LED,2,JFK->FCO->LED,2,JFK->CDG->LED,2
89,JFK-LBA,JFK,LBA,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,LBA,JFK->AMS->LBA,2,JFK->AMS->LBA,2,JFK->LGW->AMS->LBA,3
90,JFK-IOM,JFK,IOM,IMN,Europe,USA,Americas,USA-IMN,Americas-Europe,JFK,IOM,JFK->DUB->IOM,2,JFK->DUB->IOM,2,JFK->DUB->IOM,2
91,JFK-NWI,JFK,NWI,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,NWI,JFK->AMS->NWI,2,JFK->AMS->NWI,2,JFK->AMS->NWI,2
92,JFK-VKO,JFK,VKO,RUS,Europe,USA,Americas,USA-RUS,Americas-Europe,JFK,VKO,JFK->VIE->VKO,2,JFK->AMS->VIE->VKO,3,JFK->MAN->TXL->VKO,3
93,JFK-ORK,JFK,ORK,IRL,Europe,USA,Americas,USA-IRL,Americas-Europe,JFK,ORK,JFK->CDG->ORK,2,JFK->AMS->ORK,2,JFK->EDI->ORK,2
94,JFK-BTS,JFK,BTS,SVK,Europe,USA,Americas,USA-SVK,Americas-Europe,JFK,BTS,JFK->DUB->BTS,2,JFK->LIS->LTN->BTS,3,JFK->DUB->BTS,2
95,JFK-SEN,JFK,SEN,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,SEN,JFK->ORY->ALC->SEN,3,JFK->AMS->SEN,2,JFK->AMS->SEN,2
96,JFK-RTM,JFK,RTM,NLD,Europe,USA,Americas,USA-NLD,Americas-Europe,JFK,RTM,JFK->LCY->RTM,2,JFK->LCY->RTM,2,JFK->BCN->RTM,2
97,JFK-GOA,JFK,GOA,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,GOA,JFK->LGW->GOA,2,JFK->MUC->GOA,2,JFK->MUC->GOA,2
98,JFK-GCI,JFK,GCI,GGY,Europe,USA,Americas,USA-GGY,Americas-Europe,JFK,GCI,JFK->LGW->GCI,2,JFK->LGW->GCI,2,JFK->LGW->GCI,2
99,JFK-WRO,JFK,WRO,POL,Europe,USA,Americas,USA-POL,Americas-Europe,JFK,WRO,JFK->FRA->STN->WRO,3,JFK->LIS->STN->WRO,3,JFK->KEF->LTN->WRO,3
101,JFK-BMA,JFK,BMA,SWE,Europe,USA,Americas,USA-SWE,Americas-Europe,JFK,BMA,JFK->BRU->BMA,2,JFK->BRU->BMA,2,JFK->EDI->BRU->BMA,3
103,JFK-CCF,JFK,CCF,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,CCF,JFK->MAN->CRL->CCF,3,JFK->LIS->CRL->CCF,3,JFK->GVA->STN->CCF,3
104,JFK-ANR,JFK,ANR,BEL,Europe,USA,Americas,USA-BEL,Americas-Europe,JFK,ANR,JFK->AMS->SEN->ANR,3,JFK->DUB->SEN->ANR,3,JFK->DUB->SEN->ANR,3
105,JFK-TRD,JFK,TRD,NOR,Europe,USA,Americas,USA-NOR,Americas-Europe,JFK,TRD,JFK->LGW->TRD,2,JFK->LGW->TRD,2,JFK->LGW->TRD,2
106,JFK-FMM,JFK,FMM,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,FMM,JFK->BCN->STN->FMM,3,JFK->GVA->STN->FMM,3,JFK->FRA->STN->FMM,3
107,JFK-TKU,JFK,TKU,FIN,Europe,USA,Americas,USA-FIN,Americas-Europe,JFK,TKU,JFK->DUB->ARN->TKU,3,JFK->DUB->ARN->TKU,3,JFK->DUB->ARN->TKU,3
108,JFK-BHD,JFK,BHD,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,BHD,JFK->AMS->BHD,2,JFK->AMS->BHD,2,JFK->AMS->BHD,2
109,JFK-DTM,JFK,DTM,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,DTM,JFK->CDG->LTN->DTM,3,JFK->CDG->LTN->DTM,3,JFK->LGW->ORK->LTN->DTM,4
110,JFK-ZAZ,JFK,ZAZ,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,JFK,ZAZ,JFK->DUB->STN->ZAZ,3,JFK->GVA->LUX->STN->ZAZ,4,JFK->DUB->STN->ZAZ,3
111,JFK-HUY,JFK,HUY,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,HUY,JFK->DUB->AMS->HUY,3,JFK->AMS->HUY,2,JFK->AMS->HUY,2
112,JFK-KIR,JFK,KIR,IRL,Europe,USA,Americas,USA-IRL,Americas-Europe,JFK,KIR,JFK->KEF->LTN->KIR,3,JFK->BCN->LTN->KIR,3,JFK->ZRH->LTN->KIR,3
113,JFK-TMP,JFK,TMP,FIN,Europe,USA,Americas,USA-FIN,Americas-Europe,JFK,TMP,JFK->MAN->ARN->TMP,3,JFK->MUC->ARN->TMP,3,JFK->LHR->ARN->TMP,3
114,JFK-RNS,JFK,RNS,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,RNS,JFK->DUB->SEN->RNS,3,JFK->DUB->SEN->RNS,3,JFK->DUB->SEN->RNS,3
115,JFK-LBG,JFK,LBG,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,LBG,JFK->GVA->LBG,2,JFK->LIS->GVA->LBG,3,JFK->GVA->LBG,2
116,JFK-NRN,JFK,NRN,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,NRN,JFK->MUC->AGP->NRN,3,JFK->EDI->AGP->NRN,3,JFK->DUB->AGP->NRN,3
117,JFK-GRQ,JFK,GRQ,NLD,Europe,USA,Americas,USA-NLD,Americas-Europe,JFK,GRQ,JFK->AMS->SEN->GRQ,3,JFK->DUB->SEN->GRQ,3,JFK->AMS->SEN->GRQ,3
118,JFK-CSF,JFK,CSF,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,CSF,JFK->DUB->CIA->CSF,3,JFK->DUB->CIA->CSF,3,JFK->DUB->CIA->CSF,3
119,JFK-MPL,JFK,MPL,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,MPL,JFK->LGW->MPL,2,JFK->LGW->MPL,2,JFK->LGW->MPL,2
120,JFK-XFW,JFK,XFW,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,XFW,JFK->LHR->TLS->XFW,3,JFK->FRA->TLS->XFW,3,JFK->MUC->TLS->XFW,3
121,JFK-MHQ,JFK,MHQ,FIN,Europe,USA,Americas,USA-FIN,Americas-Europe,JFK,MHQ,JFK->EDI->ARN->MHQ,3,JFK->BRU->ARN->MHQ,3,JFK->EDI->ARN->MHQ,3
122,JFK-BDS,JFK,BDS,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,BDS,JFK->GVA->BDS,2,JFK->GVA->BDS,2,JFK->GVA->BDS,2
123,JFK-VBS,JFK,VBS,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,VBS,JFK->LGW->VBS,2,JFK->LGW->VBS,2,JFK->LGW->VBS,2
124,JFK-FAB,JFK,FAB,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,FAB,JFK->CDG->GVA->LBG->FAB,4,JFK->GVA->LBG->FAB,3,JFK->GVA->LBG->FAB,3
125,JFK-SNN,JFK,SNN,IRL,Europe,USA,Americas,USA-IRL,Americas-Europe,JFK,SNN,JFK->SNN,1,JFK->SNN,1,JFK->SNN,1
126,LAX-ZRH,LAX,ZRH,CHE,Europe,USA,Americas,USA-CHE,Americas-Europe,LAX,ZRH,LAX->ZRH,1,LAX->ZRH,1,LAX->ZRH,1
127,LAX-FRA,LAX,FRA,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,LAX,FRA,LAX->FRA,1,LAX->FRA,1,LAX->FRA,1
128,LAX-CDG,LAX,CDG,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,LAX,CDG,LAX->CDG,1,LAX->CDG,1,LAX->CDG,1
129,LAX-VIE,LAX,VIE,AUT,Europe,USA,Americas,USA-AUT,Americas-Europe,LAX,VIE,LAX->AMS->VIE,2,LAX->LHR->VIE,2,LAX->ZRH->VIE,2
130,LAX-LHR,LAX,LHR,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,LAX,LHR,LAX->LHR,1,LAX->LHR,1,LAX->LHR,1
131,LAX-AMS,LAX,AMS,NLD,Europe,USA,Americas,USA-NLD,Americas-Europe,LAX,AMS,LAX->AMS,1,LAX->AMS,1,LAX->AMS,1
132,LAX-MAD,LAX,MAD,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,LAX,MAD,LAX->MAD,1,LAX->MAD,1,LAX->MAD,1
133,LAX-FCO,LAX,FCO,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,LAX,FCO,LAX->FCO,1,LAX->FCO,1,LAX->FCO,1
134,LAX-LIS,LAX,LIS,PRT,Europe,USA,Americas,USA-PRT,Americas-Europe,LAX,LIS,LAX->AMS->LIS,2,LAX->LGW->LIS,2,LAX->LHR->LIS,2
135,LAX-SVO,LAX,SVO,RUS,Europe,USA,Americas,USA-RUS,Americas-Europe,LAX,SVO,LAX->SVO,1,LAX->SVO,1,LAX->SVO,1
136,LAX-MUC,LAX,MUC,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,LAX,MUC,LAX->MUC,1,LAX->MUC,1,LAX->MUC,1
137,LAX-BCN,LAX,BCN,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,LAX,BCN,LAX->LGW->BCN,2,LAX->ZRH->BCN,2,LAX->ZRH->BCN,2
138,LAX-DUB,LAX,DUB,IRL,Europe,USA,Americas,USA-IRL,Americas-Europe,LAX,DUB,LAX->AMS->DUB,2,LAX->ZRH->DUB,2,LAX->AMS->DUB,2
139,LAX-OTP,LAX,OTP,ROU,Europe,USA,Americas,USA-ROU,Americas-Europe,LAX,OTP,LAX->SVO->OTP,2,LAX->ZRH->OTP,2,LAX->ZRH->OTP,2
140,LAX-LPL,LAX,LPL,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,LAX,LPL,LAX->CDG->LPL,2,LAX->LGW->IOM->LPL,3,LAX->AMS->LPL,2
141,LAX-ARN,LAX,ARN,SWE,Europe,USA,Americas,USA-SWE,Americas-Europe,LAX,ARN,LAX->ARN,1,LAX->ARN,1,LAX->ARN,1
