init_id,list_of_passengers,route,num_in_party,BookingAgency,BookingDay,Unnamed: 0,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute,Leg_fixRoute,stay_day,airport_itinerary_out,full_routes
LHR-CPH-business-ID0,['DJI_3_1'],LHR-CPH,1,BookingAgency3,26,1273.0,LHR,CPH,DNK,Europe,GBR,Europe,GBR-DNK,Europe-Europe,LHR,CPH,LHR->CPH,1,1.0,"['LHR', 'CPH']",['LHR-CPH']
LHR-DUS-business-ID0,['MLI_4_1'],LHR-DUS,1,BookingAgency3,30,1280.0,LHR,DUS,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,DUS,LHR->DUS,1,12.0,"['LHR', 'DUS']",['LHR-DUS']
LHR-FRA-group-ID0,['BWA_0_1'],LHR-FRA,1,BookingAgency1,22,1221.0,LHR,FRA,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,FRA,LHR->FRA,1,11.0,"['LHR', 'FRA']",['LHR-FRA']
LHR-GVA-business-ID0,['ALB_2_1'],LHR-GVA,1,Airlines,9,1268.0,LHR,GVA,CHE,Europe,GBR,Europe,GBR-CHE,Europe-Europe,LHR,GVA,LHR->GVA,1,3.0,"['LHR', 'GVA']",['LHR-GVA']
LHR-LIS-business-ID0,['BWA_2_1'],LHR-LIS,1,BookingAgency1,28,1246.0,LHR,LIS,PRT,Europe,GBR,Europe,GBR-PRT,Europe-Europe,LHR,LIS,LHR->LIS,1,,"['LHR', 'LIS']",['LHR-LIS']
LHR-MUC-business-ID0,['JEY_1_1'],LHR-MUC,1,BookingAgency1,18,1254.0,LHR,MUC,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,MUC,LHR->MUC,1,1.0,"['LHR', 'MUC']",['LHR-MUC']
LHR-SAW-group-ID0,['GBR_4_1'],LHR-SAW,1,Airlines,17,1269.0,LHR,SAW,TUR,Asia,GBR,Europe,GBR-TUR,Europe-Asia,LHR,SAW,LHR->MUC->SAW,2,18.0,"['LHR', 'MUC', 'SAW']","['LHR-MUC', 'MUC-SAW']"
LHR-TXL-group-ID0,['GGY_3_1'],LHR-TXL,1,Airlines,22,1282.0,LHR,TXL,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,TXL,LHR->TXL,1,2.0,"['LHR', 'TXL']",['LHR-TXL']
LHR-ZRH-business-ID0,['FRA_2_1'],LHR-ZRH,1,BookingAgency2,22,1220.0,LHR,ZRH,CHE,Europe,GBR,Europe,GBR-CHE,Europe-Europe,LHR,ZRH,LHR->ZRH,1,12.0,"['LHR', 'ZRH']",['LHR-ZRH']
DXB-HAM-leisure-ID0,"['ALB_1_1', 'ALB_1_2']",DXB-HAM,2,BookingAgency1,20,5773.0,DXB,HAM,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,HAM,DXB->HAM,1,11.0,"['DXB', 'HAM']",['DXB-HAM']
LHR-BCN-leisure-ID0,['AUT_0_1'],LHR-BCN,1,BookingAgency3,23,1256.0,LHR,BCN,ESP,Europe,GBR,Europe,GBR-ESP,Europe-Europe,LHR,BCN,LHR->BCN,1,12.0,"['LHR', 'BCN']",['LHR-BCN']
CDG-MAD-leisure-ID0,"['BWA_1_1', 'BWA_1_2']",CDG-MAD,2,BookingAgency2,26,1074.0,CDG,MAD,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,MAD,CDG->MAD,1,0.0,"['CDG', 'MAD']",['CDG-MAD']
LHR-AMS-leisure-ID0,"['BWA_5_1', 'BWA_5_2']",LHR-AMS,2,BookingAgency3,27,1235.0,LHR,AMS,NLD,Europe,GBR,Europe,GBR-NLD,Europe-Europe,LHR,AMS,LHR->AMS,1,12.0,"['LHR', 'AMS']",['LHR-AMS']
CDG-MAD-leisure-ID1,"['CMR_0_1', 'CMR_0_2', 'CMR_0_3']",CDG-MAD,3,BookingAgency3,23,1074.0,CDG,MAD,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,MAD,CDG->MAD,1,12.0,"['CDG', 'MAD']",['CDG-MAD']
CDG-SVO-leisure-ID0,['CMR_2_1'],CDG-SVO,1,BookingAgency1,18,1080.0,CDG,SVO,RUS,Europe,FRA,Europe,FRA-RUS,Europe-Europe,CDG,SVO,CDG->SVO,1,22.0,"['CDG', 'SVO']",['CDG-SVO']
LHR-VIE-leisure-ID0,"['CMR_3_1', 'CMR_3_2']",LHR-VIE,2,BookingAgency3,30,1230.0,LHR,VIE,AUT,Europe,GBR,Europe,GBR-AUT,Europe-Europe,LHR,VIE,LHR->VIE,1,5.0,"['LHR', 'VIE']",['LHR-VIE']
DXB-BCN-leisure-ID0,"['CMR_5_1', 'CMR_5_2']",DXB-BCN,2,BookingAgency2,20,5733.0,DXB,BCN,ESP,Europe,ARE,Asia,ARE-ESP,Asia-Europe,DXB,BCN,DXB->BCN,1,4.0,"['DXB', 'BCN']",['DXB-BCN']
CDG-JFK-leisure-ID0,"['DEU_1_1', 'DEU_1_2', 'DEU_1_3']",CDG-JFK,3,BookingAgency1,27,1067.0,CDG,JFK,USA,Americas,FRA,Europe,FRA-USA,Europe-Americas,CDG,JFK,CDG->JFK,1,12.0,"['CDG', 'JFK']",['CDG-JFK']
CDG-BUD-leisure-ID0,"['DEU_2_1', 'DEU_2_2']",CDG-BUD,2,BookingAgency1,21,1110.0,CDG,BUD,HUN,Europe,FRA,Europe,FRA-HUN,Europe-Europe,CDG,BUD,CDG->BUD,1,12.0,"['CDG', 'BUD']",['CDG-BUD']
DXB-FCO-leisure-ID0,"['DEU_4_1', 'DEU_4_2']",DXB-FCO,2,BookingAgency2,11,5729.0,DXB,FCO,ITA,Europe,ARE,Asia,ARE-ITA,Asia-Europe,DXB,FCO,DXB->FCO,1,10.0,"['DXB', 'FCO']",['DXB-FCO']
LHR-KEF-leisure-ID0,"['DEU_5_1', 'DEU_5_2']",LHR-KEF,2,BookingAgency1,22,1266.0,LHR,KEF,ISL,Europe,GBR,Europe,GBR-ISL,Europe-Europe,LHR,KEF,LHR->KEF,1,1.0,"['LHR', 'KEF']",['LHR-KEF']
DXB-OTP-leisure-ID0,"['DEU_6_1', 'DEU_6_2', 'DEU_6_3']",DXB-OTP,3,BookingAgency3,9,5735.0,DXB,OTP,ROU,Europe,ARE,Asia,ARE-ROU,Asia-Europe,DXB,OTP,DXB->OTP,1,4.0,"['DXB', 'OTP']",['DXB-OTP']
CDG-VIE-leisure-ID0,"['DJI_5_1', 'DJI_5_2', 'DJI_5_3', 'DJI_5_4', 'DJI_5_5']",CDG-VIE,5,BookingAgency1,16,1062.0,CDG,VIE,AUT,Europe,FRA,Europe,FRA-AUT,Europe-Europe,CDG,VIE,CDG->VIE,1,10.0,"['CDG', 'VIE']",['CDG-VIE']
CDG-ORD-leisure-ID0,"['DNK_0_1', 'DNK_0_2']",CDG-ORD,2,BookingAgency1,18,1064.0,CDG,ORD,USA,Americas,FRA,Europe,FRA-USA,Europe-Americas,CDG,ORD,CDG->ORD,1,12.0,"['CDG', 'ORD']",['CDG-ORD']
LHR-FRA-leisure-ID0,['EGY_1_1'],LHR-FRA,1,BookingAgency3,5,1221.0,LHR,FRA,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,FRA,LHR->FRA,1,28.0,"['LHR', 'FRA']",['LHR-FRA']
DXB-FRA-leisure-ID0,"['EGY_2_1', 'EGY_2_2']",DXB-FRA,2,BookingAgency3,27,5723.0,DXB,FRA,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,FRA,DXB->FRA,1,12.0,"['DXB', 'FRA']",['DXB-FRA']
DXB-MUC-leisure-ID0,['EGY_3_1'],DXB-MUC,1,BookingAgency1,23,5732.0,DXB,MUC,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,MUC,DXB->MUC,1,22.0,"['DXB', 'MUC']",['DXB-MUC']
CDG-LHR-leisure-ID0,"['EGY_4_1', 'EGY_4_2', 'EGY_4_3', 'EGY_4_4', 'EGY_4_5']",CDG-LHR,5,BookingAgency3,8,1063.0,CDG,LHR,GBR,Europe,FRA,Europe,FRA-GBR,Europe-Europe,CDG,LHR,CDG->LHR,1,4.0,"['CDG', 'LHR']",['CDG-LHR']
LHR-BCN-leisure-ID1,['EGY_5_1'],LHR-BCN,1,BookingAgency1,26,1256.0,LHR,BCN,ESP,Europe,GBR,Europe,GBR-ESP,Europe-Europe,LHR,BCN,LHR->BCN,1,11.0,"['LHR', 'BCN']",['LHR-BCN']
DXB-DUB-leisure-ID0,"['ESP_1_1', 'ESP_1_2']",DXB-DUB,2,BookingAgency3,25,5734.0,DXB,DUB,IRL,Europe,ARE,Asia,ARE-IRL,Asia-Europe,DXB,DUB,DXB->DUB,1,12.0,"['DXB', 'DUB']",['DXB-DUB']
DXB-VIE-leisure-ID0,"['ETH_5_1', 'ETH_5_2']",DXB-VIE,2,BookingAgency1,18,5725.0,DXB,VIE,AUT,Europe,ARE,Asia,ARE-AUT,Asia-Europe,DXB,VIE,DXB->VIE,1,5.0,"['DXB', 'VIE']",['DXB-VIE']
DXB-AMS-leisure-ID0,"['FRA_0_1', 'FRA_0_2', 'FRA_0_3']",DXB-AMS,3,Airlines,16,5727.0,DXB,AMS,NLD,Europe,ARE,Asia,ARE-NLD,Asia-Europe,DXB,AMS,DXB->AMS,1,11.0,"['DXB', 'AMS']",['DXB-AMS']
CDG-FRA-leisure-ID0,"['FRA_1_1', 'FRA_1_2']",CDG-FRA,2,BookingAgency1,26,1054.0,CDG,FRA,DEU,Europe,FRA,Europe,FRA-DEU,Europe-Europe,CDG,FRA,CDG->FRA,1,12.0,"['CDG', 'FRA']",['CDG-FRA']
DXB-LHR-leisure-ID0,"['FRA_3_1', 'FRA_3_2', 'FRA_3_3']",DXB-LHR,3,BookingAgency1,23,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,19.0,"['DXB', 'LHR']",['DXB-LHR']
LHR-FCO-leisure-ID0,"['FRA_4_1', 'FRA_4_2']",LHR-FCO,2,BookingAgency3,17,1243.0,LHR,FCO,ITA,Europe,GBR,Europe,GBR-ITA,Europe-Europe,LHR,FCO,LHR->FCO,1,21.0,"['LHR', 'FCO']",['LHR-FCO']
CDG-AMS-leisure-ID0,"['FRA_5_1', 'FRA_5_2']",CDG-AMS,2,BookingAgency2,6,1068.0,CDG,AMS,NLD,Europe,FRA,Europe,FRA-NLD,Europe-Europe,CDG,AMS,CDG->AMS,1,8.0,"['CDG', 'AMS']",['CDG-AMS']
CDG-AGP-leisure-ID0,"['GBR_3_1', 'GBR_3_2', 'GBR_3_3', 'GBR_3_4']",CDG-AGP,4,BookingAgency3,16,1130.0,CDG,AGP,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,AGP,CDG->AGP,1,3.0,"['CDG', 'AGP']",['CDG-AGP']
CDG-LHR-leisure-ID1,"['GGY_0_1', 'GGY_0_2']",CDG-LHR,2,BookingAgency1,10,1063.0,CDG,LHR,GBR,Europe,FRA,Europe,FRA-GBR,Europe-Europe,CDG,LHR,CDG->LHR,1,9.0,"['CDG', 'LHR']",['CDG-LHR']
CDG-HEL-leisure-ID0,"['GGY_4_1', 'GGY_4_2', 'GGY_4_3']",CDG-HEL,3,Airlines,30,1102.0,CDG,HEL,FIN,Europe,FRA,Europe,FRA-FIN,Europe-Europe,CDG,HEL,CDG->HEL,1,,"['CDG', 'HEL']",['CDG-HEL']
DXB-CDG-leisure-ID0,"['GIB_1_1', 'GIB_1_2']",DXB-CDG,2,BookingAgency2,25,5724.0,DXB,CDG,FRA,Europe,ARE,Asia,ARE-FRA,Asia-Europe,DXB,CDG,DXB->CDG,1,6.0,"['DXB', 'CDG']",['DXB-CDG']
DXB-LHR-leisure-ID1,"['GIB_2_1', 'GIB_2_2', 'GIB_2_3']",DXB-LHR,3,BookingAgency2,19,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,,"['DXB', 'LHR']",['DXB-LHR']
DXB-CPH-leisure-ID0,['GIB_3_1'],DXB-CPH,1,BookingAgency3,24,5754.0,DXB,CPH,DNK,Europe,ARE,Asia,ARE-DNK,Asia-Europe,DXB,CPH,DXB->CPH,1,12.0,"['DXB', 'CPH']",['DXB-CPH']
DXB-ZRH-leisure-ID0,"['GIB_5_1', 'GIB_5_2', 'GIB_5_3']",DXB-ZRH,3,BookingAgency3,21,5722.0,DXB,ZRH,CHE,Europe,ARE,Asia,ARE-CHE,Asia-Europe,DXB,ZRH,DXB->ZRH,1,12.0,"['DXB', 'ZRH']",['DXB-ZRH']
DXB-LHR-leisure-ID2,"['HRV_0_1', 'HRV_0_2', 'HRV_0_3']",DXB-LHR,3,BookingAgency3,13,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,13.0,"['DXB', 'LHR']",['DXB-LHR']
CDG-MAD-leisure-ID2,['IMN_0_1'],CDG-MAD,1,BookingAgency2,19,1074.0,CDG,MAD,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,MAD,CDG->MAD,1,10.0,"['CDG', 'MAD']",['CDG-MAD']
CDG-IAD-leisure-ID0,"['IMN_3_1', 'IMN_3_2']",CDG-IAD,2,BookingAgency1,23,1149.0,CDG,IAD,USA,Americas,FRA,Europe,FRA-USA,Europe-Americas,CDG,IAD,CDG->IAD,1,7.0,"['CDG', 'IAD']",['CDG-IAD']
LHR-LAS-leisure-ID0,"['IMN_4_1', 'IMN_4_2', 'IMN_4_3']",LHR-LAS,3,Airlines,15,1237.0,LHR,LAS,USA,Americas,GBR,Europe,GBR-USA,Europe-Americas,LHR,LAS,LHR->LAS,1,28.0,"['LHR', 'LAS']",['LHR-LAS']
DXB-LHR-leisure-ID3,['ISL_0_1'],DXB-LHR,1,BookingAgency1,26,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,19.0,"['DXB', 'LHR']",['DXB-LHR']
DXB-ARN-leisure-ID0,"['JEY_0_1', 'JEY_0_2']",DXB-ARN,2,BookingAgency1,17,5737.0,DXB,ARN,SWE,Europe,ARE,Asia,ARE-SWE,Asia-Europe,DXB,ARN,DXB->ARN,1,3.0,"['DXB', 'ARN']",['DXB-ARN']
CDG-EZE-leisure-ID0,"['JEY_3_1', 'JEY_3_2']",CDG-EZE,2,BookingAgency2,22,1057.0,CDG,EZE,ARG,Americas,FRA,Europe,FRA-ARG,Europe-Americas,CDG,EZE,CDG->EZE,1,,"['CDG', 'EZE']",['CDG-EZE']
DXB-CDG-leisure-ID1,"['KEN_4_1', 'KEN_4_2']",DXB-CDG,2,Airlines,29,5724.0,DXB,CDG,FRA,Europe,ARE,Asia,ARE-FRA,Asia-Europe,DXB,CDG,DXB->CDG,1,23.0,"['DXB', 'CDG']",['DXB-CDG']
DXB-BCN-leisure-ID1,"['LUX_0_1', 'LUX_0_2']",DXB-BCN,2,BookingAgency1,23,5733.0,DXB,BCN,ESP,Europe,ARE,Asia,ARE-ESP,Asia-Europe,DXB,BCN,DXB->BCN,1,1.0,"['DXB', 'BCN']",['DXB-BCN']
DXB-VIE-leisure-ID1,['MAR_1_1'],DXB-VIE,1,BookingAgency1,16,5725.0,DXB,VIE,AUT,Europe,ARE,Asia,ARE-AUT,Asia-Europe,DXB,VIE,DXB->VIE,1,4.0,"['DXB', 'VIE']",['DXB-VIE']
DXB-LHR-leisure-ID4,"['MAR_5_1', 'MAR_5_2']",DXB-LHR,2,BookingAgency3,17,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,20.0,"['DXB', 'LHR']",['DXB-LHR']
LHR-LYS-leisure-ID0,"['MLI_3_1', 'MLI_3_2', 'MLI_3_3', 'MLI_3_4']",LHR-LYS,4,Airlines,10,1313.0,LHR,LYS,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,LHR,LYS,LHR->LYS,1,10.0,"['LHR', 'LYS']",['LHR-LYS']
LHR-BOD-leisure-ID0,['MLI_5_1'],LHR-BOD,1,BookingAgency1,28,1308.0,LHR,BOD,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,LHR,BOD,LHR->FRA->BOD,2,,"['LHR', 'FRA', 'BOD']","['LHR-FRA', 'FRA-BOD']"
DXB-GVA-leisure-ID0,['NAM_1_1'],DXB-GVA,1,BookingAgency3,25,5748.0,DXB,GVA,CHE,Europe,ARE,Asia,ARE-CHE,Asia-Europe,DXB,GVA,DXB->GVA,1,4.0,"['DXB', 'GVA']",['DXB-GVA']
CDG-WAW-leisure-ID0,"['NAM_2_1', 'NAM_2_2']",CDG-WAW,2,BookingAgency1,18,1113.0,CDG,WAW,POL,Europe,FRA,Europe,FRA-POL,Europe-Europe,CDG,WAW,CDG->WAW,1,8.0,"['CDG', 'WAW']",['CDG-WAW']
DXB-WMI-leisure-ID0,"['NAM_3_1', 'NAM_3_2', 'NAM_3_3']",DXB-WMI,3,BookingAgency1,27,5783.0,DXB,WMI,POL,Europe,ARE,Asia,ARE-POL,Asia-Europe,DXB,WMI,DXB->ATH->WMI,2,17.0,"['DXB', 'ATH', 'WMI']","['DXB-ATH', 'ATH-WMI']"
LHR-LIS-leisure-ID0,['NAM_4_1'],LHR-LIS,1,BookingAgency3,28,1246.0,LHR,LIS,PRT,Europe,GBR,Europe,GBR-PRT,Europe-Europe,LHR,LIS,LHR->LIS,1,,"['LHR', 'LIS']",['LHR-LIS']
DXB-LIS-leisure-ID0,"['NAM_5_1', 'NAM_5_2', 'NAM_5_3']",DXB-LIS,3,BookingAgency1,29,5730.0,DXB,LIS,PRT,Europe,ARE,Asia,ARE-PRT,Asia-Europe,DXB,LIS,DXB->LIS,1,21.0,"['DXB', 'LIS']",['DXB-LIS']
DXB-CDG-leisure-ID2,"['SLE_0_1', 'SLE_0_2']",DXB-CDG,2,BookingAgency3,13,5724.0,DXB,CDG,FRA,Europe,ARE,Asia,ARE-FRA,Asia-Europe,DXB,CDG,DXB->CDG,1,9.0,"['DXB', 'CDG']",['DXB-CDG']
LHR-CDG-leisure-ID0,"['SLE_1_1', 'SLE_1_2']",LHR-CDG,2,BookingAgency3,22,1222.0,LHR,CDG,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,LHR,CDG,LHR->CDG,1,,"['LHR', 'CDG']",['LHR-CDG']
CDG-VIE-leisure-ID1,['SLE_3_1'],CDG-VIE,1,Airlines,19,1062.0,CDG,VIE,AUT,Europe,FRA,Europe,FRA-AUT,Europe-Europe,CDG,VIE,CDG->VIE,1,4.0,"['CDG', 'VIE']",['CDG-VIE']
CDG-LIS-leisure-ID0,"['SLE_4_1', 'SLE_4_2']",CDG-LIS,2,BookingAgency1,24,1079.0,CDG,LIS,PRT,Europe,FRA,Europe,FRA-PRT,Europe-Europe,CDG,LIS,CDG->LIS,1,4.0,"['CDG', 'LIS']",['CDG-LIS']
DXB-MUC-leisure-ID1,"['TZA_1_1', 'TZA_1_2']",DXB-MUC,2,Airlines,29,5732.0,DXB,MUC,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,MUC,DXB->MUC,1,,"['DXB', 'MUC']",['DXB-MUC']
LHR-LIS-leisure-ID1,"['TZA_2_1', 'TZA_2_2', 'TZA_2_3', 'TZA_2_4']",LHR-LIS,4,BookingAgency3,11,1246.0,LHR,LIS,PRT,Europe,GBR,Europe,GBR-PRT,Europe-Europe,LHR,LIS,LHR->LIS,1,1.0,"['LHR', 'LIS']",['LHR-LIS']
DXB-FRA-leisure-ID1,['TZA_5_1'],DXB-FRA,1,BookingAgency1,12,5723.0,DXB,FRA,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,FRA,DXB->FRA,1,12.0,"['DXB', 'FRA']",['DXB-FRA']
DXB-LTN-leisure-ID0,['UKR_0_1'],DXB-LTN,1,BookingAgency3,29,5742.0,DXB,LTN,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LTN,DXB->FCO->LTN,2,9.0,"['DXB', 'FCO', 'LTN']","['DXB-FCO', 'FCO-LTN']"
