init_id,list_of_passengers,route,num_in_party,BookingAgency,BookingDay,Unnamed: 0,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute,Leg_fixRoute,stay_day,airport_itinerary_out,full_routes,outboundDate,returnDate,outboundFlights,airport_itinerary_ret,return_routes,returnFlights
LHR-CPH-business-ID0,['DJI_3_1'],LHR-CPH,1,BookingAgency3,26,1273.0,LHR,CPH,DNK,Europe,GBR,Europe,GBR-DNK,Europe-Europe,LHR,CPH,LHR->CPH,1,1.0,"['LHR', 'CPH']",['LHR-CPH'],2019-04-21 00:00:00+00:00,2019-04-22 00:00:00+00:00,[1013514],"['CPH', 'LHR']",['CPH-LHR'],[1031021]
LHR-DUS-business-ID0,['MLI_4_1'],LHR-DUS,1,BookingAgency3,30,1280.0,LHR,DUS,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,DUS,LHR->DUS,1,12.0,"['LHR', 'DUS']",['LHR-DUS'],2019-05-28 00:00:00+00:00,2019-06-09 00:00:00+00:00,[363443],"['DUS', 'LHR']",['DUS-LHR'],[None]
LHR-FRA-group-ID0,['BWA_0_1'],LHR-FRA,1,BookingAgency1,22,1221.0,LHR,FRA,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,FRA,LHR->FRA,1,11.0,"['LHR', 'FRA']",['LHR-FRA'],2019-05-19 00:00:00+00:00,2019-05-30 00:00:00+00:00,[235215],"['FRA', 'LHR']",['FRA-LHR'],[381680]
LHR-GVA-business-ID0,['ALB_2_1'],LHR-GVA,1,Airlines,9,1268.0,LHR,GVA,CHE,Europe,GBR,Europe,GBR-CHE,Europe-Europe,LHR,GVA,LHR->GVA,1,3.0,"['LHR', 'GVA']",['LHR-GVA'],2019-05-30 00:00:00+00:00,2019-06-02 00:00:00+00:00,[390825],"['GVA', 'LHR']",['GVA-LHR'],[None]
LHR-LIS-business-ID0,['BWA_2_1'],LHR-LIS,1,BookingAgency1,28,1246.0,LHR,LIS,PRT,Europe,GBR,Europe,GBR-PRT,Europe-Europe,LHR,LIS,LHR->LIS,1,,"['LHR', 'LIS']",['LHR-LIS'],2019-05-24 00:00:00+00:00,,[306517],"['LIS', 'LHR']",['LIS-LHR'],[None]
LHR-MUC-business-ID0,['JEY_1_1'],LHR-MUC,1,BookingAgency1,18,1254.0,LHR,MUC,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,MUC,LHR->MUC,1,1.0,"['LHR', 'MUC']",['LHR-MUC'],2019-04-04 00:00:00+00:00,2019-04-05 00:00:00+00:00,[802230],"['MUC', 'LHR']",['MUC-LHR'],[823161]
LHR-SAW-group-ID0,['GBR_4_1'],LHR-SAW,1,Airlines,17,1269.0,LHR,SAW,TUR,Asia,GBR,Europe,GBR-TUR,Europe-Asia,LHR,SAW,LHR->MUC->SAW,2,18.0,"['LHR', 'MUC', 'SAW']","['LHR-MUC', 'MUC-SAW']",2019-05-17 00:00:00+00:00,2019-06-04 00:00:00+00:00,"[214678, None]","['SAW', 'MUC', 'LHR']","['SAW-MUC', 'MUC-LHR']","[None, None]"
LHR-TXL-group-ID0,['GGY_3_1'],LHR-TXL,1,Airlines,22,1282.0,LHR,TXL,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,TXL,LHR->TXL,1,2.0,"['LHR', 'TXL']",['LHR-TXL'],2019-04-26 00:00:00+00:00,2019-04-28 00:00:00+00:00,[1079868],"['TXL', 'LHR']",['TXL-LHR'],[1106193]
LHR-ZRH-business-ID0,['FRA_2_1'],LHR-ZRH,1,BookingAgency2,22,1220.0,LHR,ZRH,CHE,Europe,GBR,Europe,GBR-CHE,Europe-Europe,LHR,ZRH,LHR->ZRH,1,12.0,"['LHR', 'ZRH']",['LHR-ZRH'],2019-03-17 00:00:00+00:00,2019-03-29 00:00:00+00:00,[601557],"['ZRH', 'LHR']",['ZRH-LHR'],[733400]
DXB-HAM-leisure-ID0,"['ALB_1_1', 'ALB_1_2']",DXB-HAM,2,BookingAgency1,20,5773.0,DXB,HAM,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,HAM,DXB->HAM,1,11.0,"['DXB', 'HAM']",['DXB-HAM'],2019-03-15 00:00:00+00:00,2019-03-26 00:00:00+00:00,[577688],"['HAM', 'DXB']",['HAM-DXB'],[696246]
LHR-BCN-leisure-ID0,['AUT_0_1'],LHR-BCN,1,BookingAgency3,23,1256.0,LHR,BCN,ESP,Europe,GBR,Europe,GBR-ESP,Europe-Europe,LHR,BCN,LHR->BCN,1,12.0,"['LHR', 'BCN']",['LHR-BCN'],2019-03-12 00:00:00+00:00,2019-03-24 00:00:00+00:00,[549644],"['BCN', 'LHR']",['BCN-LHR'],[678486]
CDG-MAD-leisure-ID0,"['BWA_1_1', 'BWA_1_2']",CDG-MAD,2,BookingAgency2,26,1074.0,CDG,MAD,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,MAD,CDG->MAD,1,0.0,"['CDG', 'MAD']",['CDG-MAD'],2019-03-29 00:00:00+00:00,2019-03-29 00:00:00+00:00,[733645],"['MAD', 'CDG']",['MAD-CDG'],[726636]
LHR-AMS-leisure-ID0,"['BWA_5_1', 'BWA_5_2']",LHR-AMS,2,BookingAgency3,27,1235.0,LHR,AMS,NLD,Europe,GBR,Europe,GBR-NLD,Europe-Europe,LHR,AMS,LHR->AMS,1,12.0,"['LHR', 'AMS']",['LHR-AMS'],2019-05-13 00:00:00+00:00,2019-05-25 00:00:00+00:00,[160941],"['AMS', 'LHR']",['AMS-LHR'],[315237]
CDG-MAD-leisure-ID1,"['CMR_0_1', 'CMR_0_2', 'CMR_0_3']",CDG-MAD,3,BookingAgency3,23,1074.0,CDG,MAD,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,MAD,CDG->MAD,1,12.0,"['CDG', 'MAD']",['CDG-MAD'],2019-03-04 00:00:00+00:00,2019-03-16 00:00:00+00:00,[448760],"['MAD', 'CDG']",['MAD-CDG'],[589277]
CDG-SVO-leisure-ID0,['CMR_2_1'],CDG-SVO,1,BookingAgency1,18,1080.0,CDG,SVO,RUS,Europe,FRA,Europe,FRA-RUS,Europe-Europe,CDG,SVO,CDG->SVO,1,22.0,"['CDG', 'SVO']",['CDG-SVO'],2019-04-01 00:00:00+00:00,2019-04-23 00:00:00+00:00,[763406],"['SVO', 'CDG']",['SVO-CDG'],[1041981]
LHR-VIE-leisure-ID0,"['CMR_3_1', 'CMR_3_2']",LHR-VIE,2,BookingAgency3,30,1230.0,LHR,VIE,AUT,Europe,GBR,Europe,GBR-AUT,Europe-Europe,LHR,VIE,LHR->VIE,1,5.0,"['LHR', 'VIE']",['LHR-VIE'],2019-03-29 00:00:00+00:00,2019-04-03 00:00:00+00:00,[732403],"['VIE', 'LHR']",['VIE-LHR'],[788657]
DXB-BCN-leisure-ID0,"['CMR_5_1', 'CMR_5_2']",DXB-BCN,2,BookingAgency2,20,5733.0,DXB,BCN,ESP,Europe,ARE,Asia,ARE-ESP,Asia-Europe,DXB,BCN,DXB->BCN,1,4.0,"['DXB', 'BCN']",['DXB-BCN'],2019-05-16 00:00:00+00:00,2019-05-20 00:00:00+00:00,[194792],"['BCN', 'DXB']",['BCN-DXB'],[252052]
CDG-JFK-leisure-ID0,"['DEU_1_1', 'DEU_1_2', 'DEU_1_3']",CDG-JFK,3,BookingAgency1,27,1067.0,CDG,JFK,USA,Americas,FRA,Europe,FRA-USA,Europe-Americas,CDG,JFK,CDG->JFK,1,12.0,"['CDG', 'JFK']",['CDG-JFK'],2019-04-12 00:00:00+00:00,2019-04-24 00:00:00+00:00,[905318],"['JFK', 'CDG']",['JFK-CDG'],[1051382]
CDG-BUD-leisure-ID0,"['DEU_2_1', 'DEU_2_2']",CDG-BUD,2,BookingAgency1,21,1110.0,CDG,BUD,HUN,Europe,FRA,Europe,FRA-HUN,Europe-Europe,CDG,BUD,CDG->BUD,1,12.0,"['CDG', 'BUD']",['CDG-BUD'],2019-03-15 00:00:00+00:00,2019-03-27 00:00:00+00:00,[582594],"['BUD', 'CDG']",['BUD-CDG'],[712371]
DXB-FCO-leisure-ID0,"['DEU_4_1', 'DEU_4_2']",DXB-FCO,2,BookingAgency2,11,5729.0,DXB,FCO,ITA,Europe,ARE,Asia,ARE-ITA,Asia-Europe,DXB,FCO,DXB->FCO,1,10.0,"['DXB', 'FCO']",['DXB-FCO'],2019-04-16 00:00:00+00:00,2019-04-26 00:00:00+00:00,[949414],"['FCO', 'DXB']",['FCO-DXB'],[1073323]
LHR-KEF-leisure-ID0,"['DEU_5_1', 'DEU_5_2']",LHR-KEF,2,BookingAgency1,22,1266.0,LHR,KEF,ISL,Europe,GBR,Europe,GBR-ISL,Europe-Europe,LHR,KEF,LHR->KEF,1,1.0,"['LHR', 'KEF']",['LHR-KEF'],2019-05-16 00:00:00+00:00,2019-05-17 00:00:00+00:00,[196603],"['KEF', 'LHR']",['KEF-LHR'],[209798]
DXB-OTP-leisure-ID0,"['DEU_6_1', 'DEU_6_2', 'DEU_6_3']",DXB-OTP,3,BookingAgency3,9,5735.0,DXB,OTP,ROU,Europe,ARE,Asia,ARE-ROU,Asia-Europe,DXB,OTP,DXB->OTP,1,4.0,"['DXB', 'OTP']",['DXB-OTP'],2019-04-26 00:00:00+00:00,2019-04-30 00:00:00+00:00,[1076115],"['OTP', 'DXB']",['OTP-DXB'],[1130950]
CDG-VIE-leisure-ID0,"['DJI_5_1', 'DJI_5_2', 'DJI_5_3', 'DJI_5_4', 'DJI_5_5']",CDG-VIE,5,BookingAgency1,16,1062.0,CDG,VIE,AUT,Europe,FRA,Europe,FRA-AUT,Europe-Europe,CDG,VIE,CDG->VIE,1,10.0,"['CDG', 'VIE']",['CDG-VIE'],2019-03-17 00:00:00+00:00,2019-03-27 00:00:00+00:00,[599240],"['VIE', 'CDG']",['VIE-CDG'],[703174]
CDG-ORD-leisure-ID0,"['DNK_0_1', 'DNK_0_2']",CDG-ORD,2,BookingAgency1,18,1064.0,CDG,ORD,USA,Americas,FRA,Europe,FRA-USA,Europe-Americas,CDG,ORD,CDG->ORD,1,12.0,"['CDG', 'ORD']",['CDG-ORD'],2019-03-10 00:00:00+00:00,2019-03-22 00:00:00+00:00,[522484],"['ORD', 'CDG']",['ORD-CDG'],[651950]
LHR-FRA-leisure-ID0,['EGY_1_1'],LHR-FRA,1,BookingAgency3,5,1221.0,LHR,FRA,DEU,Europe,GBR,Europe,GBR-DEU,Europe-Europe,LHR,FRA,LHR->FRA,1,28.0,"['LHR', 'FRA']",['LHR-FRA'],2019-03-03 00:00:00+00:00,2019-03-31 00:00:00+00:00,[433796],"['FRA', 'LHR']",['FRA-LHR'],[753958]
DXB-FRA-leisure-ID0,"['EGY_2_1', 'EGY_2_2']",DXB-FRA,2,BookingAgency3,27,5723.0,DXB,FRA,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,FRA,DXB->FRA,1,12.0,"['DXB', 'FRA']",['DXB-FRA'],2019-03-02 00:00:00+00:00,2019-03-14 00:00:00+00:00,[419181],"['FRA', 'DXB']",['FRA-DXB'],[562763]
DXB-MUC-leisure-ID0,['EGY_3_1'],DXB-MUC,1,BookingAgency1,23,5732.0,DXB,MUC,DEU,Europe,ARE,Asia,ARE-DEU,Asia-Europe,DXB,MUC,DXB->MUC,1,22.0,"['DXB', 'MUC']",['DXB-MUC'],2019-03-18 00:00:00+00:00,2019-04-09 00:00:00+00:00,[605499],"['MUC', 'DXB']",['MUC-DXB'],[860861]
CDG-LHR-leisure-ID0,"['EGY_4_1', 'EGY_4_2', 'EGY_4_3', 'EGY_4_4', 'EGY_4_5']",CDG-LHR,5,BookingAgency3,8,1063.0,CDG,LHR,GBR,Europe,FRA,Europe,FRA-GBR,Europe-Europe,CDG,LHR,CDG->LHR,1,4.0,"['CDG', 'LHR']",['CDG-LHR'],2019-05-01 00:00:00+00:00,2019-05-05 00:00:00+00:00,[11884],"['LHR', 'CDG']",['LHR-CDG'],[59583]
LHR-BCN-leisure-ID1,['EGY_5_1'],LHR-BCN,1,BookingAgency1,26,1256.0,LHR,BCN,ESP,Europe,GBR,Europe,GBR-ESP,Europe-Europe,LHR,BCN,LHR->BCN,1,11.0,"['LHR', 'BCN']",['LHR-BCN'],2019-03-28 00:00:00+00:00,2019-04-08 00:00:00+00:00,[715515],"['BCN', 'LHR']",['BCN-LHR'],[855433]
DXB-DUB-leisure-ID0,"['ESP_1_1', 'ESP_1_2']",DXB-DUB,2,BookingAgency3,25,5734.0,DXB,DUB,IRL,Europe,ARE,Asia,ARE-IRL,Asia-Europe,DXB,DUB,DXB->DUB,1,12.0,"['DXB', 'DUB']",['DXB-DUB'],2019-04-30 00:00:00+00:00,2019-05-12 00:00:00+00:00,[1127172],"['DUB', 'DXB']",['DUB-DXB'],[None]
DXB-VIE-leisure-ID0,"['ETH_5_1', 'ETH_5_2']",DXB-VIE,2,BookingAgency1,18,5725.0,DXB,VIE,AUT,Europe,ARE,Asia,ARE-AUT,Asia-Europe,DXB,VIE,DXB->VIE,1,5.0,"['DXB', 'VIE']",['DXB-VIE'],2019-04-09 00:00:00+00:00,2019-04-14 00:00:00+00:00,[867579],"['VIE', 'DXB']",['VIE-DXB'],[923762]
DXB-AMS-leisure-ID0,"['FRA_0_1', 'FRA_0_2', 'FRA_0_3']",DXB-AMS,3,Airlines,16,5727.0,DXB,AMS,NLD,Europe,ARE,Asia,ARE-NLD,Asia-Europe,DXB,AMS,DXB->AMS,1,11.0,"['DXB', 'AMS']",['DXB-AMS'],2019-05-20 00:00:00+00:00,2019-05-31 00:00:00+00:00,[251350],"['AMS', 'DXB']",['AMS-DXB'],[398375]
CDG-FRA-leisure-ID0,"['FRA_1_1', 'FRA_1_2']",CDG-FRA,2,BookingAgency1,26,1054.0,CDG,FRA,DEU,Europe,FRA,Europe,FRA-DEU,Europe-Europe,CDG,FRA,CDG->FRA,1,12.0,"['CDG', 'FRA']",['CDG-FRA'],2019-04-26 00:00:00+00:00,2019-05-08 00:00:00+00:00,[1074722],"['FRA', 'CDG']",['FRA-CDG'],[93296]
DXB-LHR-leisure-ID0,"['FRA_3_1', 'FRA_3_2', 'FRA_3_3']",DXB-LHR,3,BookingAgency1,23,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,19.0,"['DXB', 'LHR']",['DXB-LHR'],2019-04-16 00:00:00+00:00,2019-05-05 00:00:00+00:00,[949270],"['LHR', 'DXB']",['LHR-DXB'],[50076]
LHR-FCO-leisure-ID0,"['FRA_4_1', 'FRA_4_2']",LHR-FCO,2,BookingAgency3,17,1243.0,LHR,FCO,ITA,Europe,GBR,Europe,GBR-ITA,Europe-Europe,LHR,FCO,LHR->FCO,1,21.0,"['LHR', 'FCO']",['LHR-FCO'],2019-03-20 00:00:00+00:00,2019-04-10 00:00:00+00:00,[632206],"['FCO', 'LHR']",['FCO-LHR'],[877669]
CDG-AMS-leisure-ID0,"['FRA_5_1', 'FRA_5_2']",CDG-AMS,2,BookingAgency2,6,1068.0,CDG,AMS,NLD,Europe,FRA,Europe,FRA-NLD,Europe-Europe,CDG,AMS,CDG->AMS,1,8.0,"['CDG', 'AMS']",['CDG-AMS'],2019-05-02 00:00:00+00:00,2019-05-10 00:00:00+00:00,[16173],"['AMS', 'CDG']",['AMS-CDG'],[118294]
CDG-AGP-leisure-ID0,"['GBR_3_1', 'GBR_3_2', 'GBR_3_3', 'GBR_3_4']",CDG-AGP,4,BookingAgency3,16,1130.0,CDG,AGP,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,AGP,CDG->AGP,1,3.0,"['CDG', 'AGP']",['CDG-AGP'],2019-04-04 00:00:00+00:00,2019-04-07 00:00:00+00:00,[None],"['AGP', 'CDG']",['AGP-CDG'],[None]
CDG-LHR-leisure-ID1,"['GGY_0_1', 'GGY_0_2']",CDG-LHR,2,BookingAgency1,10,1063.0,CDG,LHR,GBR,Europe,FRA,Europe,FRA-GBR,Europe-Europe,CDG,LHR,CDG->LHR,1,9.0,"['CDG', 'LHR']",['CDG-LHR'],2019-03-23 00:00:00+00:00,2019-04-01 00:00:00+00:00,[661703],"['LHR', 'CDG']",['LHR-CDG'],[770570]
CDG-HEL-leisure-ID0,"['GGY_4_1', 'GGY_4_2', 'GGY_4_3']",CDG-HEL,3,Airlines,30,1102.0,CDG,HEL,FIN,Europe,FRA,Europe,FRA-FIN,Europe-Europe,CDG,HEL,CDG->HEL,1,,"['CDG', 'HEL']",['CDG-HEL'],2019-05-19 00:00:00+00:00,,[234734],"['HEL', 'CDG']",['HEL-CDG'],[None]
DXB-CDG-leisure-ID0,"['GIB_1_1', 'GIB_1_2']",DXB-CDG,2,BookingAgency2,25,5724.0,DXB,CDG,FRA,Europe,ARE,Asia,ARE-FRA,Asia-Europe,DXB,CDG,DXB->CDG,1,6.0,"['DXB', 'CDG']",['DXB-CDG'],2019-04-14 00:00:00+00:00,2019-04-20 00:00:00+00:00,[923676],"['CDG', 'DXB']",['CDG-DXB'],[1003308]
DXB-LHR-leisure-ID1,"['GIB_2_1', 'GIB_2_2', 'GIB_2_3']",DXB-LHR,3,BookingAgency2,19,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,,"['DXB', 'LHR']",['DXB-LHR'],2019-05-30 00:00:00+00:00,,[386290],"['LHR', 'DXB']",['LHR-DXB'],[None]
DXB-CPH-leisure-ID0,['GIB_3_1'],DXB-CPH,1,BookingAgency3,24,5754.0,DXB,CPH,DNK,Europe,ARE,Asia,ARE-DNK,Asia-Europe,DXB,CPH,DXB->CPH,1,12.0,"['DXB', 'CPH']",['DXB-CPH'],2019-05-02 00:00:00+00:00,2019-05-14 00:00:00+00:00,[14736],"['CPH', 'DXB']",['CPH-DXB'],[168893]
DXB-ZRH-leisure-ID0,"['GIB_5_1', 'GIB_5_2', 'GIB_5_3']",DXB-ZRH,3,BookingAgency3,21,5722.0,DXB,ZRH,CHE,Europe,ARE,Asia,ARE-CHE,Asia-Europe,DXB,ZRH,DXB->ZRH,1,12.0,"['DXB', 'ZRH']",['DXB-ZRH'],2019-04-17 00:00:00+00:00,2019-04-29 00:00:00+00:00,[959047],"['ZRH', 'DXB']",['ZRH-DXB'],[1109945]
DXB-LHR-leisure-ID2,"['HRV_0_1', 'HRV_0_2', 'HRV_0_3']",DXB-LHR,3,BookingAgency3,13,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,13.0,"['DXB', 'LHR']",['DXB-LHR'],2019-05-26 00:00:00+00:00,2019-06-08 00:00:00+00:00,[324732],"['LHR', 'DXB']",['LHR-DXB'],[None]
CDG-MAD-leisure-ID2,['IMN_0_1'],CDG-MAD,1,BookingAgency2,19,1074.0,CDG,MAD,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,MAD,CDG->MAD,1,10.0,"['CDG', 'MAD']",['CDG-MAD'],2019-03-18 00:00:00+00:00,2019-03-28 00:00:00+00:00,[609398],"['MAD', 'CDG']",['MAD-CDG'],[715211]
CDG-IAD-leisure-ID0,"['IMN_3_1', 'IMN_3_2']",CDG-IAD,2,BookingAgency1,23,1149.0,CDG,IAD,USA,Americas,FRA,Europe,FRA-USA,Europe-Americas,CDG,IAD,CDG->IAD,1,7.0,"['CDG', 'IAD']",['CDG-IAD'],2019-03-05 00:00:00+00:00,2019-03-12 00:00:00+00:00,[461282],"['IAD', 'CDG']",['IAD-CDG'],[545401]
LHR-LAS-leisure-ID0,"['IMN_4_1', 'IMN_4_2', 'IMN_4_3']",LHR-LAS,3,Airlines,15,1237.0,LHR,LAS,USA,Americas,GBR,Europe,GBR-USA,Europe-Americas,LHR,LAS,LHR->LAS,1,28.0,"['LHR', 'LAS']",['LHR-LAS'],2019-04-02 00:00:00+00:00,2019-04-30 00:00:00+00:00,[778225],"['LAS', 'LHR']",['LAS-LHR'],[1117554]
DXB-LHR-leisure-ID3,['ISL_0_1'],DXB-LHR,1,BookingAgency1,26,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,19.0,"['DXB', 'LHR']",['DXB-LHR'],2019-03-24 00:00:00+00:00,2019-04-12 00:00:00+00:00,[672047],"['LHR', 'DXB']",['LHR-DXB'],[904479]
DXB-ARN-leisure-ID0,"['JEY_0_1', 'JEY_0_2']",DXB-ARN,2,BookingAgency1,17,5737.0,DXB,ARN,SWE,Europe,ARE,Asia,ARE-SWE,Asia-Europe,DXB,ARN,DXB->ARN,1,3.0,"['DXB', 'ARN']",['DXB-ARN'],2019-03-04 00:00:00+00:00,2019-03-07 00:00:00+00:00,[448656],"['ARN', 'DXB']",['ARN-DXB'],[481992]
CDG-EZE-leisure-ID0,"['JEY_3_1', 'JEY_3_2']",CDG-EZE,2,BookingAgency2,22,1057.0,CDG,EZE,ARG,Americas,FRA,Europe,FRA-ARG,Europe-Americas,CDG,EZE,CDG->EZE,1,,"['CDG', 'EZE']",['CDG-EZE'],2019-03-12 00:00:00+00:00,,[None],"['EZE', 'CDG']",['EZE-CDG'],[None]
DXB-CDG-leisure-ID1,"['KEN_4_1', 'KEN_4_2']",DXB-CDG,2,Airlines,29,5724.0,DXB,CDG,FRA,Europe,ARE,Asia,ARE-FRA,Asia-Europe,DXB,CDG,DXB->CDG,1,23.0,"['DXB', 'CDG']",['DXB-CDG'],2019-05-22 00:00:00+00:00,2019-06-14 00:00:00+00:00,[277486],"['CDG', 'DXB']",['CDG-DXB'],[None]
DXB-BCN-leisure-ID1,"['LUX_0_1', 'LUX_0_2']",DXB-BCN,2,BookingAgency1,23,5733.0,DXB,BCN,ESP,Europe,ARE,Asia,ARE-ESP,Asia-Europe,DXB,BCN,DXB->BCN,1,1.0,"['DXB', 'BCN']",['DXB-BCN'],2019-03-26 00:00:00+00:00,2019-03-27 00:00:00+00:00,[692718],"['BCN', 'DXB']",['BCN-DXB'],[707353]
DXB-VIE-leisure-ID1,['MAR_1_1'],DXB-VIE,1,BookingAgency1,16,5725.0,DXB,VIE,AUT,Europe,ARE,Asia,ARE-AUT,Asia-Europe,DXB,VIE,DXB->VIE,1,4.0,"['DXB', 'VIE']",['DXB-VIE'],2019-04-08 00:00:00+00:00,2019-04-12 00:00:00+00:00,[849794],"['VIE', 'DXB']",['VIE-DXB'],[905362]
DXB-LHR-leisure-ID4,"['MAR_5_1', 'MAR_5_2']",DXB-LHR,2,BookingAgency3,17,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,20.0,"['DXB', 'LHR']",['DXB-LHR'],2019-05-31 00:00:00+00:00,2019-06-20 00:00:00+00:00,[399222],"['LHR', 'DXB']",['LHR-DXB'],[None]
LHR-LYS-leisure-ID0,"['MLI_3_1', 'MLI_3_2', 'MLI_3_3', 'MLI_3_4']",LHR-LYS,4,Airlines,10,1313.0,LHR,LYS,FRA,Europe,GBR,Europe,GBR-FRA,Europe-Europe,LHR,LYS,LHR->LYS,1,10.0,"['LHR', 'LYS']",['LHR-LYS'],2019-04-12 00:00:00+00:00,2019-04-22 00:00:00+00:00,[905353],"['LYS', 'LHR']",['LYS-LHR'],[1028918]
